timestamp,average_path_length,num_connected_pairs,total_pairs,connectivity_percentage,min_path_length,max_path_length,num_ground_stations,num_satellites,average_hops
10000000000,9495401.298029197,4950,4950,100.0,2103305.1875,21781485.0,100,351,2.613939393939394
8000000000,9496455.195788251,4950,4950,100.0,2104764.375,21782967.5,100,351,2.6157575757575757
12000000000,9495454.089821089,4950,4950,100.0,2102208.875,21780023.5,100,351,2.613737373737374
0,8578212.918044014,4950,4950,100.0,2107886.375,19099188.25,100,351,2.8024242424242423
2000000000,9496730.936991839,4950,4950,100.0,2111296.125,21787541.5,100,351,2.6157575757575757
4000000000,9496075.923859883,4950,4950,100.0,2108768.375,21785995.5,100,351,2.6157575757575757
6000000000,9496341.60562797,4950,4950,100.0,2106585.75,21784471.5,100,351,2.6163636363636362
14000000000,9497187.314237755,4950,4950,100.0,2101476.125,21778583.5,100,351,2.6173737373737374
16000000000,9497785.98746846,4950,4950,100.0,2101107.125,21777163.5,100,351,2.6187878787878787
18000000000,9320171.12601746,4950,4950,100.0,2101102.1875,21336562.5,100,351,2.72
32000000000,9497711.782185208,4950,4950,100.0,2111236.1875,21766566.0,100,351,2.618181818181818
26000000000,8858798.683461504,4950,4950,100.0,2104719.75,18945305.24528062,100,351,2.6557575757575758
28000000000,9499149.103662353,4950,4950,100.0,2106531.0625,21769089.5,100,351,2.61979797979798
24000000000,9497700.820144514,4950,4950,100.0,2103270.625,21771696.5,100,351,2.6214141414141414
34000000000,8828614.612453813,4950,4950,100.0,2114127.5,20915335.694235258,100,351,2.6864646464646467
22000000000,8452950.07083202,4950,4950,100.0,2102184.1875,19003358.5,100,351,2.678989898989899
30000000000,9499192.672260402,4950,4950,100.0,2108703.6875,21767817.0,100,351,2.6195959595959595
20000000000,9487894.341672983,4950,4950,100.0,2101461.25,21774388.5,100,351,2.624040404040404
38000000000,9498407.493304659,4950,4950,100.0,2120980.25,21762939.5,100,351,2.61979797979798
36000000000,9497770.912687205,4950,4950,100.0,2117376.125,21764127.0,100,351,2.618989898989899
44000000000,9497723.237675453,4950,4950,100.0,2120744.875,21773345.070227362,100,351,2.617979797979798
50000000000,9495291.227359917,4950,4950,100.0,2120065.6875,21756256.0,100,351,2.6151515151515152
52000000000,9377784.338851692,4950,4950,100.0,2120553.4375,20871937.5,100,351,2.6733333333333333
42000000000,9288918.094845401,4950,4950,100.0,2121685.0,21767932.913153283,100,351,2.641212121212121
40000000000,9491868.863023205,4950,4950,100.0,2122981.25,21762580.569163524,100,351,2.6206060606060606
54000000000,9497793.354553057,4950,4950,100.0,2121398.0,21754198.0,100,351,2.6145454545454547
48000000000,9496148.63343289,4950,4950,100.0,2119935.0625,21784342.12568229,100,351,2.616767676767677
46000000000,9495940.269269684,4950,4950,100.0,2120161.5,21778815.797154963,100,351,2.6157575757575757
58000000000,9499926.06179773,4950,4950,100.0,2121232.3125,21752225.0,100,351,2.621212121212121
56000000000,9499190.69791395,4950,4950,100.0,2121471.3125,21753201.0,100,351,2.62
74000000000,9447524.98741547,4950,4950,100.0,2079349.75,21549991.459145233,100,351,2.6587878787878787
64000000000,9393323.76729771,4950,4950,100.0,2106585.0,21538549.178406715,100,351,2.66969696969697
68000000000,9491805.66563367,4950,4950,100.0,2094648.8125,21802691.5,100,351,2.6343434343434344
72000000000,9497992.720694786,4950,4950,100.0,2084098.625,21803843.0,100,351,2.6143434343434344
66000000000,9498856.018506614,4950,4950,100.0,2100444.9375,21802260.0,100,351,2.616767676767677
62000000000,9489239.49412324,4950,4950,100.0,2113065.9375,21603384.0,100,351,2.630909090909091
70000000000,9497204.776469082,4950,4950,100.0,2089199.125,21803219.0,100,351,2.613737373737374
60000000000,9369828.479987467,4950,4950,100.0,2119884.75,21534027.28697844,100,351,2.6822222222222223
76000000000,9498867.50296773,4950,4950,100.0,2074954.875,21805379.5,100,351,2.612727272727273
78000000000,9499818.570024293,4950,4950,100.0,2070916.0625,21806293.5,100,351,2.613737373737374
82000000000,9501846.33930418,4950,4950,100.0,2063914.625,21808409.0,100,351,2.6143434343434344
84000000000,9411495.774412189,4950,4950,100.0,2060955.5,21561624.557621982,100,351,2.6426262626262624
80000000000,9501453.689099034,4950,4950,100.0,2067235.3125,21807303.0,100,351,2.613939393939394
88000000000,9505102.591358725,4950,4950,100.0,2056127.9375,21812306.5,100,351,2.6163636363636362
94000000000,9507791.621721113,4950,4950,100.0,2051630.0625,21817071.5,100,351,2.615959595959596
92000000000,9473327.986200502,4950,4950,100.0,2052762.375,21571071.112028386,100,351,2.6218181818181816
90000000000,9505542.262394357,4950,4950,100.0,2054261.875,21813798.5,100,351,2.6165656565656565
86000000000,9503180.247136753,4950,4950,100.0,2058359.5,21810911.0,100,351,2.6155555555555554
96000000000,9507751.38671159,4950,4950,100.0,2050865.625,21818852.5,100,351,2.6147474747474746
98000000000,9508530.570929747,4950,4950,100.0,2050469.4375,21820729.0,100,351,2.6135353535353536
100000000000,9509956.182914967,4950,4950,100.0,2050441.625,21822703.0,100,351,2.6135353535353536
102000000000,8554273.173064237,4950,4950,100.0,2050782.3125,18441766.75,100,351,2.6614141414141415
110000000000,9518368.000639077,4950,4950,100.0,2055822.875,21834012.5,100,351,2.6206060606060606
114000000000,9518809.293957293,4950,4950,100.0,2060540.1875,21839210.0,100,351,2.618585858585859
104000000000,9415028.644319015,4950,4950,100.0,2051491.1875,21585476.76672702,100,351,2.757979797979798
106000000000,9477778.035900855,4950,4950,100.0,2052568.0,21587905.531811982,100,351,2.636767676767677
