K Value,Mean Connectivity Percentage,Change from Baseline,Z-score,Statistically Significant
0,100.00,0.00,0.00,False
25,100.00,0.00,0.00,False
50,100.00,0.00,0.00,False
75,100.00,0.00,0.00,False
100,100.00,0.00,0.00,False
125,100.00,0.00,0.00,False
150,99.75,-0.25,2.49,True
175,99.65,-0.35,3.49,True
200,99.45,-0.55,5.49,True
225,98.76,-1.24,12.44,True
250,98.11,-1.89,18.88,True
