K Value,Mean Average Path Length (km),Change from Baseline,Z-score,Statistically Significant
0,10568.23,0,0,False
25,10669.93,101.69,-2.86,True
50,10769.79,201.55,-5.66,True
75,10886.52,318.28,-8.94,True
100,11036.01,467.77,-13.14,True
125,11206.66,638.43,-17.93,True
150,11384.60,816.37,-22.93,True
175,11601.53,1033.29,-29.02,True
200,11920.57,1352.34,-37.98,True
225,12224.93,1656.69,-46.53,True
250,12631.27,2063.04,-57.95,True
