timestamp,k_value,average_path_length,num_connected_pairs,total_pairs,connectivity_percentage,min_path_length,max_path_length,num_ground_stations,num_satellites,average_hops
5000000000,0,8436889.407267671,4950,4950,100.0,2107632.0,19100933.0,100,351,2.7894949494949497
5000000000,25,9556848.2802494,4950,4950,100.0,2107632.0,21846919.902464014,100,326,2.6632323232323234
5000000000,50,9696118.210545126,4950,4950,100.0,2107632.0,22320602.236524597,100,301,2.7755555555555556
5000000000,75,9753641.510304252,4950,4950,100.0,2107632.0,22320602.236524597,100,276,2.8333333333333335
5000000000,100,9846000.634390725,4950,4950,100.0,2107632.0,22553594.25,100,251,2.9125252525252527
5000000000,125,9975629.79434845,4950,4950,100.0,2107632.0,23080691.375,100,226,2.998989898989899
5000000000,150,10233943.410613839,4950,4950,100.0,2107632.0,24433045.106261965,100,201,3.101010101010101
5000000000,175,11085915.183149388,4950,4950,100.0,2107632.0,27294457.569814235,100,176,3.3313131313131312
5000000000,200,11661892.437998576,4950,4950,100.0,2117076.625,27747068.5,100,151,3.4024242424242424
5000000000,225,12229167.524154648,4950,4950,100.0,2255435.75,29246837.06934071,100,126,3.497777777777778
5000000000,250,14566944.364495613,4851,4950,98.0,2255435.75,36868670.625,100,101,3.9676355390641107
25000000000,0,9492090.537914148,4950,4950,100.0,2103949.8125,21771036.5,100,351,2.657979797979798
25000000000,25,9555722.780047944,4950,4950,100.0,2103949.8125,21795556.27677149,100,326,2.7177777777777776
25000000000,50,9620453.627013272,4950,4950,100.0,2103949.8125,21840475.898237236,100,301,2.7977777777777777
25000000000,75,9742093.43031491,4950,4950,100.0,2103949.8125,22170688.034107447,100,276,2.8363636363636364
25000000000,100,9870690.675828734,4950,4950,100.0,2103949.8125,22582076.140268236,100,251,2.9446464646464645
25000000000,125,10088613.886638092,4950,4950,100.0,2103949.8125,22746497.21067334,100,226,3.0046464646464646
25000000000,150,10290496.300132953,4950,4950,100.0,2103949.8125,25036555.535365522,100,201,3.114141414141414
25000000000,175,10753657.413220242,4950,4950,100.0,2103949.8125,25419667.478417046,100,176,3.282828282828283
25000000000,200,11494922.297800139,4950,4950,100.0,2103949.8125,29172059.75,100,151,3.3834343434343435
25000000000,225,12912837.840078209,4950,4950,100.0,2242747.1875,29216716.375,100,126,3.523030303030303
25000000000,250,14631749.588212777,4753,4950,96.02020202020202,2242747.1875,37550686.74766359,100,101,3.893751314958973
0,0,8381436.79691989,4950,4950,100.0,2107886.375,19397169.875,100,351,2.7115151515151514
0,25,9565680.88607031,4950,4950,100.0,2107886.375,21860599.30423083,100,326,2.683030303030303
0,50,9666191.116299592,4950,4950,100.0,2107886.375,21964294.255194843,100,301,2.7795959595959596
0,75,9754022.53755951,4950,4950,100.0,2107886.375,22404195.191852484,100,276,2.851717171717172
0,100,9838004.069323415,4950,4950,100.0,2107886.375,22948601.286784735,100,251,2.910707070707071
0,125,10013508.0077941,4950,4950,100.0,2107886.375,23157814.651971504,100,226,2.9917171717171716
0,150,10296411.107800342,4950,4950,100.0,2107886.375,24418689.43070098,100,201,3.133939393939394
0,175,11064367.456726572,4950,4950,100.0,2107886.375,24913647.43219219,100,176,3.35030303030303
0,200,11803687.785372326,4950,4950,100.0,2107886.375,27128851.728176124,100,151,3.452121212121212
0,225,13663633.39138505,4851,4950,98.0,2239529.75,31330706.875,100,126,3.6854256854256855
0,250,14653895.104317546,4851,4950,98.0,2239529.75,36929394.75,100,101,4.001030715316429
30000000000,0,9499192.672260402,4950,4950,100.0,2108703.6875,21767817.0,100,351,2.6195959595959595
30000000000,25,9556835.29664308,4950,4950,100.0,2108703.6875,21814571.5,100,326,2.6614141414141415
30000000000,50,9657079.802919183,4950,4950,100.0,2108703.6875,22123875.5,100,301,2.7622222222222224
30000000000,75,9744970.788222663,4950,4950,100.0,2108703.6875,22181601.0,100,276,2.838989898989899
30000000000,100,9915278.576517716,4950,4950,100.0,2108703.6875,22578586.07135367,100,251,2.9331313131313133
30000000000,125,10085869.079538314,4950,4950,100.0,2108703.6875,22749348.609845944,100,226,2.9905050505050506
30000000000,150,10280813.622707369,4950,4950,100.0,2108703.6875,25052858.067580335,100,201,3.0856565656565658
30000000000,175,10863892.709725708,4950,4950,100.0,2108703.6875,25447539.464439735,100,176,3.3224242424242423
30000000000,200,11449997.288419854,4950,4950,100.0,2108703.6875,27696986.269462854,100,151,3.5254545454545454
30000000000,225,12512237.847115904,4950,4950,100.0,2195282.0,29239376.0,100,126,3.554949494949495
30000000000,250,14629882.434318345,4753,4950,96.02020202020202,2225923.4375,37642505.321522474,100,101,3.931622133389438
10000000000,0,9466924.953583747,4950,4950,100.0,2103305.1875,21781485.0,100,351,2.6422222222222222
10000000000,25,9529880.540976234,4950,4950,100.0,2103305.1875,21846332.5,100,326,2.682020202020202
10000000000,50,9649296.549354553,4950,4950,100.0,2103305.1875,22209450.0,100,301,2.783232323232323
10000000000,75,9707779.923481287,4950,4950,100.0,2103305.1875,22226733.319473922,100,276,2.8365656565656567
10000000000,100,9835971.54375751,4950,4950,100.0,2103305.1875,22593031.713944543,100,251,2.942020202020202
10000000000,125,10058743.915386619,4950,4950,100.0,2103305.1875,23076122.5,100,226,3.0393939393939395
10000000000,150,10360971.836228834,4950,4950,100.0,2103305.1875,26213434.554783,100,201,3.188686868686869
10000000000,175,10944397.883701216,4950,4950,100.0,2103305.1875,27469217.625,100,176,3.2707070707070707
10000000000,200,11684935.8038151,4950,4950,100.0,2103305.1875,27750546.00911729,100,151,3.4278787878787877
