timestamp,k_value,average_path_length,num_connected_pairs,total_pairs,connectivity_percentage,min_path_length,max_path_length,num_ground_stations,num_satellites,average_hops
0,0,10547630.258089826,4950,4950,100.0,1070619.5625,22017055.44016164,100,1584,7.87010101010101
0,25,10601580.511435844,4950,4950,100.0,1070619.5625,22613497.66090323,100,1559,7.94040404040404
0,50,10696938.63454602,4950,4950,100.0,1070619.5625,22613497.66090323,100,1534,8.087474747474747
0,75,10795966.164215209,4950,4950,100.0,1070619.5625,22613497.66090323,100,1509,8.153333333333334
0,100,10925379.2403729,4950,4950,100.0,1070619.5625,23016505.033156373,100,1484,8.282424242424243
0,125,11104652.7875537,4950,4950,100.0,1070619.5625,23016505.033156373,100,1459,8.4989898989899
0,150,11323281.088391151,4950,4950,100.0,1070619.5625,26185223.369780827,100,1434,8.754141414141413
0,175,11601213.73776305,4950,4950,100.0,1070619.5625,26818701.606564008,100,1409,8.997575757575758
0,200,11930334.382927675,4851,4950,98.0,1070619.5625,27421927.068157665,100,1384,9.301793444650588
0,225,12153557.688095134,4560,4950,92.12121212121212,1070619.5625,31924299.520467736,100,1359,9.52390350877193
0,250,12398034.093006454,4560,4950,92.12121212121212,1070619.5625,34246217.51433368,100,1334,9.659429824561403
10000000000,0,10561312.308854353,4950,4950,100.0,1088722.75,21998239.579409238,100,1584,7.905050505050505
10000000000,25,10639940.512255482,4950,4950,100.0,1088722.75,22056476.708342336,100,1559,8.037373737373738
10000000000,50,10686359.448449222,4950,4950,100.0,1088722.75,22522415.42343037,100,1534,8.099595959595959
10000000000,75,10782412.563629745,4950,4950,100.0,1088722.75,22672157.36765743,100,1509,8.142020202020202
10000000000,100,10952475.911209825,4950,4950,100.0,1088722.75,23173600.298169076,100,1484,8.319191919191919
10000000000,125,11171957.209715696,4950,4950,100.0,1088722.75,23700383.14726479,100,1459,8.477777777777778
10000000000,150,11417142.95050673,4950,4950,100.0,1088722.75,24269970.6235401,100,1434,8.792929292929292
10000000000,175,11619572.344087284,4950,4950,100.0,1088722.75,26991753.559752762,100,1409,9.00020202020202
10000000000,200,11978107.654691674,4950,4950,100.0,1105927.0,27797318.06520559,100,1384,9.295151515151515
10000000000,225,12204889.141061565,4851,4950,98.0,1105927.0,30206022.546676945,100,1359,9.595547309833025
10000000000,250,12822543.859390395,4656,4950,94.06060606060606,1105927.0,31134102.75518022,100,1334,10.033505154639176
35000000000,0,10566057.012773667,4950,4950,100.0,1048155.59375,22700401.238510545,100,1584,7.878383838383838
35000000000,25,10654945.768897112,4950,4950,100.0,1048155.59375,22700401.238510545,100,1559,8.041414141414142
35000000000,50,10783306.96733834,4950,4950,100.0,1048155.59375,22763639.097985286,100,1534,8.224242424242425
35000000000,75,10892064.056518363,4950,4950,100.0,1048155.59375,22964834.834725454,100,1509,8.30060606060606
35000000000,100,11112141.542709924,4950,4950,100.0,1048155.59375,23352593.292334408,100,1484,8.527272727272727
35000000000,125,11226346.741350666,4950,4950,100.0,1048155.59375,24525423.80897353,100,1459,8.681616161616162
35000000000,150,11366576.446791366,4950,4950,100.0,1048155.59375,24525423.80897353,100,1434,8.766060606060606
35000000000,175,11573165.655755168,4950,4950,100.0,1048155.59375,25955602.23791966,100,1409,8.99070707070707
35000000000,200,11867690.865491264,4950,4950,100.0,1048155.59375,27028530.54421231,100,1384,9.20141414141414
35000000000,225,12231487.09920595,4950,4950,100.0,1048155.59375,27498239.23978568,100,1359,9.552121212121213
35000000000,250,12600577.603492282,4851,4950,98.0,1048155.59375,28284953.80599832,100,1334,9.823747680890538
30000000000,0,10553291.386634804,4950,4950,100.0,1059171.0625,22624847.99348044,100,1584,7.864646464646465
30000000000,25,10634316.894310558,4950,4950,100.0,1059171.0625,22624847.99348044,100,1559,8.012727272727274
30000000000,50,10740986.410338966,4950,4950,100.0,1059171.0625,22702355.204118144,100,1534,8.18909090909091
30000000000,75,10858885.239272196,4950,4950,100.0,1059171.0625,23004549.074805383,100,1509,8.315959595959596
30000000000,100,11078165.967416996,4950,4950,100.0,1059171.0625,23362944.899893172,100,1484,8.531515151515151
30000000000,125,11229441.319194663,4950,4950,100.0,1059171.0625,24493599.844294272,100,1459,8.596161616161616
30000000000,150,11527966.240094386,4851,4950,98.0,1059171.0625,24493599.844294272,100,1434,8.881467738610596
30000000000,175,11650722.761237033,4851,4950,98.0,1059171.0625,24493599.844294272,100,1409,9.039373325087611
30000000000,200,12039939.897860058,4851,4950,98.0,1059171.0625,26130367.771245707,100,1384,9.365285508142652
30000000000,225,12541990.509895898,4851,4950,98.0,1059171.0625,28272920.01490971,100,1359,9.753246753246753
30000000000,250,12706408.833274513,4851,4950,98.0,1059171.0625,28315607.307927355,100,1334,9.88332302618017
15000000000,0,10571313.299105281,4950,4950,100.0,1078709.25,22068161.21348075,100,1584,7.903838383838384
15000000000,25,10656724.552213203,4950,4950,100.0,1078709.25,22093044.976449125,100,1559,8.052121212121213
15000000000,50,10709086.34110038,4950,4950,100.0,1078709.25,22663112.091046736,100,1534,8.116565656565657
15000000000,75,10845603.013811987,4950,4950,100.0,1078709.25,23047650.749563493,100,1509,8.222020202020202
15000000000,100,11020749.028910695,4950,4950,100.0,1078709.25,23047650.749563493,100,1484,8.414949494949495
15000000000,125,11346092.72746271,4950,4950,100.0,1078709.25,26695424.36345742,100,1459,8.701010101010102
15000000000,150,11517663.350670358,4950,4950,100.0,1078709.25,26695424.36345742,100,1434,8.876565656565656
15000000000,175,11673149.502713252,4950,4950,100.0,1078709.25,27032721.52418944,100,1409,9.061616161616161
