K Value,Mean Average Path Length (km),Change from Baseline,Z-score,Statistically Significant
0,9343.46,0,0,False
25,9543.58,200.12,-0.57,False
50,9644.79,301.33,-0.85,False
75,9748.87,405.40,-1.15,False
100,9948.25,604.79,-1.72,False
125,10172.00,828.54,-2.35,True
150,10440.37,1096.90,-3.11,True
175,10822.00,1478.54,-4.19,True
200,11479.66,2136.20,-6.06,True
225,12381.41,3037.95,-8.62,True
250,14261.53,4918.07,-13.95,True
