timestamp,average_path_length,num_connected_pairs,total_pairs,connectivity_percentage,min_path_length,max_path_length,num_ground_stations,num_satellites,average_hops
0,10339025.203329546,4950,4950,100.0,1282957.25,22542227.764568236,100,1156,8.935151515151516
6000000000,10340133.99612457,4950,4950,100.0,1292549.25,22558215.566585112,100,1156,8.941212121212121
10000000000,10329618.975694254,4950,4950,100.0,1301829.25,22570167.72527751,100,1156,8.924040404040404
4000000000,10342335.848600086,4950,4950,100.0,1288769.75,22552684.82537905,100,1156,8.938383838383839
14000000000,10330591.14374073,4950,4950,100.0,1295211.8125,22583332.469362497,100,1156,8.913939393939394
8000000000,10331382.483544642,4950,4950,100.0,1296904.3125,22564041.3073771,100,1156,8.92949494949495
2000000000,10343315.890130447,4950,4950,100.0,1285571.0,22547448.123334493,100,1156,8.94040404040404
12000000000,10334982.176445842,4950,4950,100.0,1299705.0625,22576596.634054158,100,1156,8.922626262626263
18000000000,10319675.377011482,4950,4950,100.0,1287920.4375,22585604.406505633,100,1156,8.898585858585859
16000000000,10326116.37042912,4950,4950,100.0,1291281.9375,22588058.12306343,100,1156,8.90929292929293
30000000000,10317346.71286791,4950,4950,100.0,1279866.625,22540210.390634403,100,1156,8.913737373737375
34000000000,10308572.43779226,4950,4950,100.0,1281833.125,22561421.981673505,100,1156,8.891919191919191
22000000000,10296179.205173047,4950,4950,100.0,1282917.9375,22472283.37293925,100,1156,8.925050505050505
28000000000,10323689.93905055,4950,4950,100.0,1279756.5,22544549.12559796,100,1156,8.922626262626263
26000000000,10327786.3607636,4950,4950,100.0,1280228.8125,22558566.717802882,100,1156,8.922222222222222
24000000000,10321615.513937565,4950,4950,100.0,1281283.125,22508415.71115524,100,1156,8.916767676767677
20000000000,10320294.75717086,4950,4950,100.0,1285131.3125,22488976.311456446,100,1156,8.90060606060606
32000000000,10318953.182107281,4950,4950,100.0,1280559.125,22551509.90474294,100,1156,8.908282828282829
36000000000,10296802.223745031,4950,4950,100.0,1283687.125,22548656.216387037,100,1156,8.875959595959596
38000000000,10289609.988665294,4950,4950,100.0,1286118.75,22553072.544943918,100,1156,8.873333333333333
52000000000,10298283.204832617,4950,4950,100.0,1296879.4375,22593961.725387286,100,1156,8.883434343434343
50000000000,10296425.002477698,4950,4950,100.0,1298093.125,22607939.40528047,100,1156,8.885858585858585
42000000000,10284306.702100221,4950,4950,100.0,1292702.4375,22512401.077337563,100,1156,8.867272727272727
48000000000,10098100.980921684,4950,4950,100.0,1299878.6875,22622218.46163659,100,1156,8.787676767676768
40000000000,10291032.109364204,4950,4950,100.0,1289125.0625,22567452.658507697,100,1156,8.871717171717172
54000000000,10296301.341472393,4950,4950,100.0,1296239.0,22580285.315467283,100,1156,8.885252525252525
46000000000,10293353.463636156,4950,4950,100.0,1301552.1875,22625994.941489834,100,1156,8.878989898989898
44000000000,10284757.551103966,4950,4950,100.0,1296846.4375,22624923.279072493,100,1156,8.867272727272727
56000000000,10309986.895797867,4950,4950,100.0,1296172.5625,22566916.530213367,100,1156,8.906868686868687
58000000000,10307686.209612401,4950,4950,100.0,1296680.3125,22553858.742637113,100,1156,8.902828282828283
62000000000,10312076.785880784,4950,4950,100.0,1299414.9375,22528691.71050616,100,1156,8.903838383838384
74000000000,10306307.955173166,4950,4950,100.0,1287040.125,22529500.813096415,100,1156,8.885050505050504
68000000000,10301793.906541469,4950,4950,100.0,1295528.0,22508352.338806346,100,1156,8.875353535353536
70000000000,10311353.53048674,4950,4950,100.0,1292115.9375,22515087.25422197,100,1156,8.884646464646465
60000000000,10310214.812431157,4950,4950,100.0,1297761.5625,22541116.8943689,100,1156,8.90020202020202
64000000000,10302191.350378327,4950,4950,100.0,1301638.5,22516584.720272876,100,1156,8.88060606060606
66000000000,10300088.286326965,4950,4950,100.0,1299517.125,22501926.890902117,100,1156,8.877979797979798
72000000000,10306130.685512476,4950,4950,100.0,1289285.375,22522135.842456326,100,1156,8.885656565656566
78000000000,10306336.994549168,4950,4950,100.0,1284317.0625,22545187.883504383,100,1156,8.905858585858585
76000000000,10309803.802885901,4950,4950,100.0,1285383.25,22537183.632704288,100,1156,8.901616161616161
80000000000,10301642.539431067,4950,4950,100.0,1283842.875,22553516.617307834,100,1156,8.900404040404041
90000000000,10332034.187376505,4950,4950,100.0,1290347.25,22600086.834926356,100,1156,8.94
82000000000,10304298.027358266,4950,4950,100.0,1283961.5,22562170.829494715,100,1156,8.905252525252525
88000000000,10328357.759861527,4950,4950,100.0,1287867.6875,22590110.62809743,100,1156,8.938585858585858
84000000000,10304029.3433612,4950,4950,100.0,1284672.5625,22571154.615205158,100,1156,8.903636363636364
86000000000,10311864.524940018,4950,4950,100.0,1285975.3125,22580467.131523132,100,1156,8.913535353535353
92000000000,10334185.602051508,4950,4950,100.0,1293410.5,22728934.82311851,100,1156,8.942020202020203
94000000000,10337462.801156858,4950,4950,100.0,1297053.5,22738261.32867513,100,1156,8.962626262626262
96000000000,10334311.302168183,4950,4950,100.0,1298001.25,22747935.828818176,100,1156,8.956363636363637
98000000000,10324411.965997918,4950,4950,100.0,1293227.125,23107117.0408876,100,1156,8.978181818181818
102000000000,10340350.644591942,4950,4950,100.0,1281946.0,23125610.6731688,100,1156,8.964242424242425
104000000000,10074901.923479259,4950,4950,100.0,1277164.6875,23135931.5093531,100,1156,8.85030303030303
110000000000,10339930.960829351,4950,4950,100.0,1266333.5625,23171164.123862546,100,1156,8.945454545454545
100000000000,10340374.320582045,4950,4950,100.0,1287302.5625,23116004.020455148,100,1156,8.958989898989898
108000000000,10342961.605395883,4950,4950,100.0,1269353.0625,23158710.90036578,100,1156,8.951919191919192
106000000000,10332879.513353553,4950,4950,100.0,1272965.125,23146965.898534358,100,1156,8.955353535353535
114000000000,10351926.551097035,4950,4950,100.0,1262088.4375,23198183.283842016,100,1156,8.972929292929292
112000000000,10341792.601902602,4950,4950,100.0,1263910.875,23184324.350919776,100,1156,8.942626262626263
116000000000,10352899.026177302,4950,4950,100.0,1260869.0,23212741.822069466,100,1156,8.962828282828283
118000000000,10352505.441775307,4950,4950,100.0,1260254.125,23227991.660661217,100,1156,8.954343434343434
128000000000,10362406.688021325,4950,4950,100.0,1265336.1875,22584242.525779467,100,1156,8.957575757575757
130000000000,10356187.160819571,4950,4950,100.0,1265109.375,22574422.199393246,100,1156,8.966868686868686
134000000000,10342316.610802216,4950,4950,100.0,1263263.0625,22555739.40218695,100,1156,8.934343434343434
126000000000,10358016.506489955,4950,4950,100.0,1263846.1875,22588945.88310357,100,1156,8.956565656565656
122000000000,10351450.051002182,4950,4950,100.0,1260841.1875,22615629.691901464,100,1156,8.94989898989899
120000000000,10356754.743581392,4950,4950,100.0,1260244.875,23243932.083716124,100,1156,8.96
124000000000,10352903.003806401,4950,4950,100.0,1262042.1875,22604844.909168072,100,1156,8.958787878787879
132000000000,10353897.119902616,4950,4950,100.0,1264438.875,22564921.733945258,100,1156,8.955959595959596
136000000000,10341756.265416266,4950,4950,100.0,1262690.5625,22546871.97829324,100,1156,8.931111111111111
138000000000,10344878.530992988,4950,4950,100.0,1262722.1875,22538318.158181682,100,1156,8.938383838383839
152000000000,10358478.995319901,4950,4950,100.0,1279749.4375,22487064.317869905,100,1156,8.946868686868687
146000000000,10343673.32711457,4950,4950,100.0,1268876.8125,22507208.19896195,100,1156,8.935151515151516
140000000000,10337112.074689088,4950,4950,100.0,1263358.0,22530077.16523028,100,1156,8.932727272727274
148000000000,10341112.230565427,4950,4950,100.0,1271911.5,22500195.312634178,100,1156,8.923030303030304
142000000000,10327532.730004212,4950,4950,100.0,1264597.0625,22522147.788640715,100,1156,8.9189898989899
150000000000,10361515.658615842,4950,4950,100.0,1275537.4375,22493481.205479704,100,1156,8.954747474747474
144000000000,10342182.725322325,4950,4950,100.0,1266437.5,22514525.2003301,100,1156,8.939595959595959
154000000000,10352917.652099865,4950,4950,100.0,1284541.8125,22480941.39441158,100,1156,8.94040404040404
158000000000,10365524.511096355,4851,4950,98.0,1295841.0625,22469567.658006974,100,1156,8.963306534735105
156000000000,10363400.917792005,4851,4950,98.0,1289908.0625,22475109.988761306,100,1156,8.950525664811378
162000000000,10358218.108762963,4851,4950,98.0,1291512.375,22459336.650142353,100,1156,8.952587095444239
160000000000,10366464.131685467,4851,4950,98.0,1294460.5,22464310.451560684,100,1156,8.96763553906411
174000000000,10341791.457554266,4950,4950,100.0,1285267.5,22588006.328363385,100,1156,8.924242424242424
164000000000,10346132.317074409,4851,4950,98.0,1289147.75,22467455.7149338,100,1156,8.934240362811792
170000000000,10341665.96818607,4950,4950,100.0,1285582.5,22497301.41308621,100,1156,8.922222222222222
166000000000,10343247.192970742,4950,4950,100.0,1287369.8125,22477060.051763874,100,1156,8.94040404040404
168000000000,10345166.342446996,4950,4950,100.0,1286180.875,22487008.077017926,100,1156,8.94020202020202
172000000000,10344785.280409731,4950,4950,100.0,1285575.5,22507939.995515708,100,1156,8.938383838383839
176000000000,10337525.098247424,4950,4950,100.0,1284530.5625,22519101.813597642,100,1156,8.920808080808081
178000000000,10340020.639730815,4950,4950,100.0,1284374.0625,22523753.617452115,100,1156,8.92969696969697
186000000000,9458635.02178635,4950,4950,100.0,1289543.75,20427922.490543846,100,1156,8.29979797979798
184000000000,10338938.540688263,4950,4950,100.0,1287384.5,22539422.466087863,100,1156,8.932525252525252
182000000000,10330432.662247915,4950,4950,100.0,1285801.9375,22533911.513772532,100,1156,8.925858585858586
188000000000,10317482.016753301,4950,4950,100.0,1287784.4375,22551327.41102675,100,1156,8.905656565656566
180000000000,10336750.768961847,4950,4950,100.0,1284798.0,22528689.734691497,100,1156,8.927070707070706
194000000000,10320841.573773213,4950,4950,100.0,1279619.4375,22571452.85387793,100,1156,8.91070707070707
190000000000,10324980.833911471,4950,4950,100.0,1284479.625,22557731.565160297,100,1156,8.914747474747475
192000000000,10331380.804563394,4950,4950,100.0,1281756.75,22564436.37417397,100,1156,8.925656565656565
196000000000,10315001.667448323,4950,4950,100.0,1278070.5,22572327.40138934,100,1156,8.895959595959596
198000000000,10315343.0078525,4950,4950,100.0,1277112.0,22570108.662337177,100,1156,8.892727272727273
