timestamp,k_value,average_path_length,num_connected_pairs,total_pairs,connectivity_percentage,min_path_length,max_path_length,num_ground_stations,num_satellites,average_hops
5000000000,0,8785008.384362428,4950,4950,100.0,1290587.25,20844525.79344235,100,1156,7.7727272727272725
5000000000,25,10495937.720904147,4950,4950,100.0,1290587.25,22573234.024015892,100,1131,9.102828282828282
5000000000,50,10760752.382721862,4950,4950,100.0,1290587.25,25495522.707088552,100,1106,9.33939393939394
5000000000,75,10977177.372102685,4851,4950,98.0,1290587.25,27136396.22648035,100,1081,9.515563801278088
5000000000,100,11175982.143524256,4851,4950,98.0,1290587.25,27136396.22648035,100,1056,9.777365491651206
5000000000,125,12013769.85294917,4851,4950,98.0,1290587.25,31990535.396394063,100,1031,10.584827870542156
5000000000,150,12490701.285068756,4851,4950,98.0,1290587.25,35330453.101328395,100,1006,11.005359719645433
5000000000,175,12677858.094494583,4753,4950,96.02020202020202,1290587.25,35378648.942182094,100,981,11.156111929307805
5000000000,200,12267903.73175443,4095,4950,82.72727272727273,1290587.25,35057453.136440426,100,956,10.888400488400489
5000000000,225,12771730.682029225,4095,4950,82.72727272727273,1290587.25,36474908.49000681,100,931,11.371184371184372
5000000000,250,12904233.514076868,4005,4950,80.9090909090909,1290587.25,38264700.09671112,100,906,11.490387016229713
15000000000,0,10331208.201482987,4950,4950,100.0,1293176.125,22586814.51887697,100,1156,8.913131313131313
15000000000,25,10416550.73010271,4950,4950,100.0,1293176.125,22953755.32213782,100,1131,8.987878787878788
15000000000,50,10494958.391155533,4950,4950,100.0,1293176.125,23306018.01246364,100,1106,9.100606060606061
15000000000,75,10794606.467477145,4950,4950,100.0,1293176.125,24002596.2401877,100,1081,9.455959595959596
15000000000,100,11058573.291689321,4950,4950,100.0,1293176.125,24667526.182729352,100,1056,9.729090909090909
15000000000,125,11286395.15073967,4950,4950,100.0,1293176.125,25301755.398540687,100,1031,9.983838383838384
15000000000,150,11623689.59323164,4851,4950,98.0,1293176.125,26240897.137500238,100,1006,10.31127602556174
15000000000,175,11749815.387942888,4851,4950,98.0,1293176.125,26240897.137500238,100,981,10.409193980622552
15000000000,200,12006874.003158433,4851,4950,98.0,1293176.125,27805626.702618774,100,956,10.653885796742939
15000000000,225,13242142.446244074,4753,4950,96.02020202020202,1293176.125,35041011.64291496,100,931,11.58889122659373
15000000000,250,13736875.730355743,4281,4950,86.48484848484848,1293176.125,38099703.93075032,100,906,12.213267928054194
0,0,10339179.129074173,4950,4950,100.0,1282957.25,22542227.764568236,100,1156,8.935151515151516
0,25,10430037.844097035,4950,4950,100.0,1282957.25,23040505.992112976,100,1131,9.008888888888889
0,50,10540991.318094645,4950,4950,100.0,1282957.25,24042231.38721212,100,1106,9.135757575757577
0,75,10653964.780441446,4950,4950,100.0,1282957.25,24042231.38721212,100,1081,9.311111111111112
0,100,11113691.599771474,4851,4950,98.0,1282957.25,25349640.265809577,100,1056,9.783549783549784
0,125,11384507.594475126,4851,4950,98.0,1282957.25,27027457.041793793,100,1031,9.974025974025974
0,150,11702960.184380308,4851,4950,98.0,1296818.9375,27400652.85562948,100,1006,10.336631622345909
0,175,12264115.834565917,4851,4950,98.0,1296818.9375,30308478.362426087,100,981,10.808699237270666
0,200,12511282.568938565,4753,4950,96.02020202020202,1296818.9375,31179337.62921078,100,956,11.055333473595624
0,225,12976023.478822343,4656,4950,94.06060606060606,1296818.9375,34585913.70406446,100,931,11.481099656357388
0,250,13282847.40270277,4656,4950,94.06060606060606,1296818.9375,36916965.031206,100,906,11.721649484536082
10000000000,0,10329622.52579619,4950,4950,100.0,1301829.25,22570167.72527751,100,1156,8.924444444444445
10000000000,25,10428661.179779062,4950,4950,100.0,1301829.25,23003997.223370522,100,1131,9.017979797979798
10000000000,50,10529799.949116515,4950,4950,100.0,1301829.25,23320778.951235197,100,1106,9.156565656565656
10000000000,75,10761559.361647801,4950,4950,100.0,1301829.25,24648850.598276608,100,1081,9.415353535353535
10000000000,100,11061614.088665366,4950,4950,100.0,1301829.25,24648850.598276608,100,1056,9.716565656565656
10000000000,125,11437942.26162344,4950,4950,100.0,1301829.25,26824694.295951996,100,1031,10.102424242424242
10000000000,150,11774110.956374502,4950,4950,100.0,1301829.25,26824694.295951996,100,1006,10.359595959595959
10000000000,175,11766048.339886319,4657,4950,94.08080808080808,1301829.25,28642177.251680445,100,981,10.444277431823062
10000000000,200,11992843.161261456,4657,4950,94.08080808080808,1301829.25,30862732.833649497,100,956,10.654069143225252
10000000000,225,12175901.297634296,4466,4950,90.22222222222223,1302270.375,33690155.90027079,100,931,10.844379758172861
10000000000,250,12582018.265090495,4190,4950,84.64646464646465,1302270.375,33690155.90027079,100,906,11.311694510739857
20000000000,0,10320464.92395662,4950,4950,100.0,1285131.3125,22488976.311456446,100,1156,8.901010101010101
20000000000,25,10399971.908007003,4950,4950,100.0,1285131.3125,23117064.22975438,100,1131,8.983232323232324
20000000000,50,10522128.559063636,4950,4950,100.0,1285131.3125,23294629.23322365,100,1106,9.132727272727273
20000000000,75,10695464.668484863,4950,4950,100.0,1285131.3125,24119940.81526003,100,1081,9.325050505050505
20000000000,100,11102153.5004146,4950,4950,100.0,1285131.3125,24787281.2672636,100,1056,9.695555555555556
20000000000,125,11298435.554083988,4950,4950,100.0,1285131.3125,25959355.461373255,100,1031,9.897575757575758
20000000000,150,11540825.3622467,4950,4950,100.0,1285131.3125,25959355.461373255,100,1006,10.201616161616162
20000000000,175,11764164.316146394,4950,4950,100.0,1285131.3125,26191144.875453237,100,981,10.3410101010101
